text,is_generated
"Den store Gatsby er en storslået invitation til fortolkning og analytisk tænkning og, helt afgørende, sorgfri nydelse uden kunstig meningspåvirkning i stuen, i drivhuset, på ferien sydpå, eller hvor end man læser. Ved at søge chatbotgenererede svar og fortolkninger berøver læsere sig selv for denne essentielle del af læseoplevelsen som en grundlæggende menneskelig oplevelse.",0
"Se for dig et ungt venstresnoet menneske, som endnu har sine formative læseroplevelser foran sig og et enormt og uoverskueligt verdensbibliotek at plukke fra. Hvilke bøger bør han eller hun kaste sig over?",0
" En robot må ikke skade et menneske eller ved uvirksomhed lade et menneske komme til skade. Det er i princippet let nok at programmere en robot til aldrig at have som mål at skade et menneske. Hvis den imidlertid ikke kan sætte sig i andres sted og forstå andres mål, kan dens handlinger stadig ende med at være skadelige, f.eks. hvis robotten tager elevatoren for næsen af ambulanceredderne med den alvorligt tilskadekomne patient.",0
"""Hjemmearbejde er ikke bare et koncept for kontorfunktionærer,"" siger IT-konsulent Mark Thomsen, som i kølvandet på pandemien har skabt en banebrydende app til koordinering af huslige opgaver. ""Vi bruger principperne for projektstyring og omsætter dem til aktiviteter i hjemmet,"" forklarer han. Det er ikke blot arbejdsstruktur men også hjemmets indre dynamik, der får et serviceeftersyn.",1
"140 danske læger skrev i solidaritet med deres kolleger i Gaza, der kæmper en desperat kamp for at gøre deres arbejde under Israels angreb.",0
Historien gengav Jan Grarup også i podcasten Du lytter til Politiken med titlen Rwanda 25 år efter hvordan kunne det ske kapitel 2 9. april 2019:,0
"Det britiske medie havde bedt robotten om at skrive en artikel, der argumenterer for, at kunstig intelligens ikke er en trussel mod menneskeheden, og det bliver hurtigt ganske underholdende.",0
"Fotograferingen er til tider smuk, klipningen ofte brutalt effektiv. Musikken er hæderlig, endda ekspansiv som sfærernes musik, men også i perioder bare en konservativ smagsforstærker. Og i modsætning til teaserens løfte om noget andet, så efterlades man med spørgsmålet om, hvorvidt fremtidens mennesker overhovedet har rigtige følelser? Det virker uklart i Alien: Covenant.",0
" Jeg tror ikke, jeg ville kalde det kreativitet, siger han derfor, også selvom AI kommer med overraskende løsninger, som ingen tidligere har forestillet sig. ",0
" Vi er i første stadie i forhold til at installere kunstig intelligens i vores hjem ... hvad sker der, når det samme system bliver bygget ind i dit hus når dit hus begynder at tænke på dig? Og dit hus er forbundet til din bil, din bil er forbundet til gaden og gaden er forbundet til dit kontor og alle kommunikerer de til hinanden om dig, tænker på dig, tager beslutninger for dig, afgør hvad du ser og ikke ser ... Det er et kæmpe problem, hvis vi ikke overvejer det. Thomas Terney er fuldstændig enig:",0
"Umiddelbart ser det ud, som om ingen har fejet i Fotografisk Center for nylig. For midt i udstillingen kan man på gulvet studse over nogle spredte post-it -sedler. Men en tekst fortæller, at sedlerne faktisk er en del af Andreas Albrectsens store foto, der fylder væggen bagved godt op. ",0
"Den økonomiske udstødelse af samfundets svageste: ""Alle har naturligvis ret til en konto,"" proklamerede finansministeren i sidste uge. Men virkeligheden er en anden. Hjemløse og finansielt udsatte har længe kæmpet en ulige kamp for at få adgang til basal bankbetjening. I de seneste måneder har rapporter og vidnesbyrd skildret en virkelighed, hvor bankers dørmatter ikke just byder velkommen. Man skulle tro, at d t at have et sted at opbevare og administrere sine penge var en universel rettighed, men denne skabelon holder ikke i praksis. Banker agerer som vogtere ved pengeverdenens porte, og med fraser som ""risikovurdering"" og ""kundeegnethed"" udstødes mange. En fattigmands opsparing er åbenbart ikke værdifuld nok. ""Det er ikke blot uretfærdigt, det er rent ud sagt en skandale,"" siger Jette, som efter otte års hjemløshed omsider fik åbnet en konto. Denne undersøgelse afdækker de barrierer, som banker opstiller og de sociale konsekvenser de afføder.",1
" Jeg tror, at hele den måde, vi måler og forstår produktivitet på, ligger i en gammeldags forståelse af, hvordan verden hænger sammen. Hvad er det for en produktivitetstilvækst, der ligger i, at du er aktiv tre timer om dagen på Twitter, hvor du giver feedback og interagerer? Det kan vi ikke måle endnu, siger Anne Marie Engtoft Larsen.",0
"Danmark bør sænke fartgrænserne på vejene og sænke priserne på offentlig transport eller gøre det helt gratis. Det siger direktøren for Det Internationale Energiagentur IEA , Fatih Birol, i et interview med Politiken.",0
"Og Naia, hun sover, indtil Sleep Cycle-appen vækker hende på det helt rigtige tidspunkt, og en ny dag kan begynde. Få ubegrænset adgang med et digitalt abonnement. Prøv en måned gratis. Prøv nu Er du abonnent? Log ind her",0
" Mange arbejdsgivere har set innovation som noget, der handlede om at kunne komme hurtigst til Makedonien og finde en billig chauffør. Men hvis en chauffør kan køre med tre læs, er der knap så meget besparelse i at sætte en chauffør fra Makedonien til at køre til halv pris. Det vil være bedre at finde en, der har uddannelse til denne anden type job, og det har vi tradition for i Danmark. Så jeg er slet ikke bange for udviklingen, siger Jan Villadsen.",0
"Stensbo-Smidt vil ikke afvise, at ægte kunstig intelligens godt kan blive en realitet om rigtig lang tid. Hvor lang tid der vil gå er meget svært at svare på.",0
